path,word,token,phrase,upload_date
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Blow Dry 2024-5-20 Upload/Documentation/SG ASL Blow Dry 2024-5-20.mkv,blow dry,BLOW DRY,Blow Dry,2024-5-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Beloved (Alt) 2 2024-3-19 Upload/Documentation/SG ASL Beloved (Alt) 2 2024-3-19.mkv,beloved (alt) 2,BELOVED (ALT) 2,Beloved (Alt) 2,2024-3-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Beloved (Alt) 2 2024-3-19 Upload/Documentation/SG ASL Beloved (Alt) 2 2024-3-19 CC.mp4,beloved (alt) 2,BELOVED (ALT) 2,Beloved (Alt) 2,2024-3-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Beloved (Alt) 2 2024-3-19 Upload/Documentation/SG ASL Beloved (Alt) 2 2024-3-19 GIF.gif,beloved (alt) 2,BELOVED (ALT) 2,Beloved (Alt) 2,2024-3-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Below 2024-3-20 Upload/Documentation/SG ASL Below 2024-3-20 CC.mp4,below,BELOW,Below,2024-3-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Below 2024-3-20 Upload/Documentation/SG ASL Below 2024-3-20.mkv,below,BELOW,Below,2024-3-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Below 2024-3-20 Upload/Documentation/SG ASL Below 2024-3-20 GIF.gif,below,BELOW,Below,2024-3-20
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bondage 2024-6-8 Upload/Documentation/SG ASL Bondage 2024-6-8 CC.mp4,bondage,BONDAGE,Bondage,2024-6-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bondage 2024-6-8 Upload/Documentation/SG ASL Bondage 2024-6-8.mkv,bondage,BONDAGE,Bondage,2024-6-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bondage 2024-6-8 Upload/Documentation/SG ASL Bondage 2024-6-8 GIF.gif,bondage,BONDAGE,Bondage,2024-6-8
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bloodbath 1 2024-5-18 Upload/Documentation/SG ASL Bloodbath 1 2024-5-18.mkv,bloodbath 1,BLOODBATH 1,Bloodbath 1,2024-5-18
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bloodbath 1 2024-5-18 Upload/Documentation/SG ASL Bloodbath 1 2024-5-18 CC.mp4,bloodbath 1,BLOODBATH 1,Bloodbath 1,2024-5-18
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bloodbath 1 2024-5-18 Upload/Documentation/SG ASL Bloodbath 1 2024-5-18 GIF.gif,bloodbath 1,BLOODBATH 1,Bloodbath 1,2024-5-18
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Breach Variant 2 2024-7-14 Upload/Documentation/SG ASL Breach Variant 2 2024-7-14 GIF.gif,breach variant 2,BREACH VARIANT 2,Breach Variant 2,2024-7-14
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Breach Variant 2 2024-7-14 Upload/Documentation/SG ASL Breach Variant 2 2024-7-14.mkv,breach variant 2,BREACH VARIANT 2,Breach Variant 2,2024-7-14
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Breach Variant 2 2024-7-14 Upload/Documentation/SG ASL Breach Variant 2 2024-7-14 CC.mp4,breach variant 2,BREACH VARIANT 2,Breach Variant 2,2024-7-14
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bare 2024-1-13 Upload/Documentation/SG ASL Bare 2024-1-13 GIF.gif,bare,BARE,Bare,2024-1-13
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bare 2024-1-13 Upload/Documentation/SG ASL Bare 2024-1-13 CC.mp4,bare,BARE,Bare,2024-1-13
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bare 2024-1-13 Upload/Documentation/SG ASL Bare 2024-1-13.mkv,bare,BARE,Bare,2024-1-13
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Business 1 2024-9-2 Upload/Documentation/SG ASL Business 1 2024-9-2 CC.mp4,business 1,BUSINESS 1,Business 1,2024-9-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Business 1 2024-9-2 Upload/Documentation/SG ASL Business 1 2024-9-2 GIF.gif,business 1,BUSINESS 1,Business 1,2024-9-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Business 1 2024-9-2 Upload/Documentation/SG ASL Business 1 2024-9-2.mkv,business 1,BUSINESS 1,Business 1,2024-9-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Border 2024-6-19 Upload/Documentation/SG ASL Border 2024-6-19 CC.mp4,border,BORDER,Border,2024-6-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Border 2024-6-19 Upload/Documentation/SG ASL Border 2024-6-19 GIF.gif,border,BORDER,Border,2024-6-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Border 2024-6-19 Upload/Documentation/SG ASL Border 2024-6-19.mkv,border,BORDER,Border,2024-6-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bear in Mind 2024-2-19 Upload/Documentation/SG ASL Bear in Mind 2024-2-19 GIF.gif,bear in mind,BEAR IN MIND,Bear in Mind,2024-2-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bear in Mind 2024-2-19 Upload/Documentation/SG ASL Bear in Mind 2024-2-19.mkv,bear in mind,BEAR IN MIND,Bear in Mind,2024-2-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Bear in Mind 2024-2-19 Upload/Documentation/SG ASL Bear in Mind 2024-2-19 CC.mp4,bear in mind,BEAR IN MIND,Bear in Mind,2024-2-19
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Boss Combined 2024-6-23 Upload/Documentation/SG ASL Boss Combined 2024-6-23 CC.mp4,boss combined,BOSS COMBINED,Boss Combined,2024-6-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Boss Combined 2024-6-23 Upload/Documentation/SG ASL Boss Combined 2024-6-23.mkv,boss combined,BOSS COMBINED,Boss Combined,2024-6-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Boss Combined 2024-6-23 Upload/Documentation/SG ASL Boss Combined 2024-6-23 GIF.gif,boss combined,BOSS COMBINED,Boss Combined,2024-6-23
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Broke Money 2024-8-2 Upload/Documentation/SG ASL Broke Money 2024-8-2 GIF.gif,broke money,BROKE MONEY,Broke Money,2024-8-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Broke Money 2024-8-2 Upload/Documentation/SG ASL Broke Money 2024-8-2 CC.mp4,broke money,BROKE MONEY,Broke Money,2024-8-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Broke Money 2024-8-2 Upload/Documentation/SG ASL Broke Money 2024-8-2.mkv,broke money,BROKE MONEY,Broke Money,2024-8-2
/content/drive/MyDrive/asl_app_data/SG ASL Dictionary/ASL B/SG ASL Backlight 1 2023-12-6 Upload/Documentation/SG ASL Backlight 1 2023-12-6 CC.mp4,backlight 1,BACKLIGHT 1,Backlight 1,2023-12-6
